Argument,Value,,,,,,,,,,
Query search,Great Fire of London England,,,,,,,,,,
From,19910806,,,,,,,,,,
To,20240208,,,,,,,,,,
Offset,0,,,,,,,,,,
Number of results,2000,,,,,,,,,,
Website,,,,,,,,,,,
Format,,,,,,,,,,,
Collection,,,,,,,,,,,
,,,,,,,,,,,
Results,,,,,,,,,,,
Year,Month,Day,Timestamp,Original URL,Link to archive,Link to screenshot,Link to extracted text,Collection,MIME type,Title,Snippet
2018,April,28,20180428075730,https://wn.com/London,https://arquivo.pt/wayback/20180428075730/https://wn.com/London,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20180428075730%2Fhttps%3A%2F%2Fwn.com%2FLondon,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwn.com%2FLondon%2F20180428075730,AWP26,text/html,London," location on Google Map <em>London</em> <em>London</em> i / &#712; l &#652; n d &#601;n / is the capital and most populous city <em>of</em> <em>England</em><span class=""ellipsis""> ... </span> conurbation forms Greater <em>London</em> , a region <em>of</em> <em>England</em> governed by the Mayor <em>of</em> <em>London</em> and the <em>London</em><span class=""ellipsis""> ... </span> Thames Valley , a region <em>of</em> <em>England</em> around the river between Oxford and West <em>London</em>; the Thames<span class=""ellipsis""> ... </span>"
2018,April,7,20180407042603,https://en.wikipedia.org/wiki/London,https://arquivo.pt/wayback/20180407042603/https://en.wikipedia.org/wiki/London,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20180407042603%2Fhttps%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLondon,https://arquivo.pt/textextracted?m=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLondon%2F20180407042603,AWP26,text/html,London - Wikipedia,"&#8211;1666, which killed up to 100,000 people, or a fifth <em>of</em> the population. [88] The <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> destroyed many parts <em>of</em> the city in 1666 The <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> broke out in 1666 in Pudding Lane<span class=""ellipsis""> ... </span>. Few structures in central <em>London</em> pre-date the <em>Great</em> <em>Fire</em> <em>of</em> 1666, these being a few trace Roman<span class=""ellipsis""> ... </span>"
2020,March,16,20200316213100,https://en.wikipedia.org/wiki/London,https://arquivo.pt/wayback/20200316213100/https://en.wikipedia.org/wiki/London,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20200316213100%2Fhttps%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLondon,https://arquivo.pt/textextracted?m=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLondon%2F20200316213100,AWP32,text/html,London - Wikipedia," up to 100,000 people, or a fifth <em>of</em> the population. [100] The <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> destroyed many parts <em>of</em> the city in 1666. The <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> broke out in 1666 in Pudding Lane in the city and<span class=""ellipsis""> ... </span> structures in central <em>London</em> pre-date the <em>Great</em> <em>Fire</em> <em>of</em> 1666, these being a few trace Roman remains, the<span class=""ellipsis""> ... </span>"
2020,December,21,20201221190657,https://london.ctvnews.ca/,https://arquivo.pt/wayback/20201221190657/https://london.ctvnews.ca/,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20201221190657%2Fhttps%3A%2F%2Flondon.ctvnews.ca%2F,https://arquivo.pt/textextracted?m=https%3A%2F%2Flondon.ctvnews.ca%2F%2F20201221190657,FAWP4320201221,text/html,London News | Weather & Local Breaking | CTV News London,". Middlesex-<em>London</em> sees 71 new COVID-19 cases ahead <em>of</em> lockdown The Middlesex-<em>London</em> Health Unit is<span class=""ellipsis""> ... </span> solstice, an event known as a &#8220;<em>great</em> conjunction.&#8221; <em>London</em>, Ont.'s 'Tree Trunk Tour' expanding to<span class=""ellipsis""> ... </span> Road Business Improvement Area (BIA) on Sunday. It's the start <em>of</em> an expansion <em>of</em> <em>London</em>'s Tree<span class=""ellipsis""> ... </span>"
2019,September,9,20190909024729,http://soulsfiredesigns.blogspot.com/,https://arquivo.pt/wayback/20190909024729/http://soulsfiredesigns.blogspot.com/,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190909024729%2Fhttp%3A%2F%2Fsoulsfiredesigns.blogspot.com%2F,https://arquivo.pt/textextracted?m=http%3A%2F%2Fsoulsfiredesigns.blogspot.com%2F%2F20190909024729,AWP30,text/html,Soul's Fire Designs,"Soul's <em>Fire</em> Designs Saturday, May 16, 2015 The Art <em>of</em> Awareness Blog Hop Hello Everyone! &nbsp; I know<span class=""ellipsis""> ... </span> beauty <em>of</em> Paris... the gondolas in Venice... the chips in <em>London</em>. &nbsp;He loved to tell stories. My<span class=""ellipsis""> ... </span> this episode. &nbsp; -- &nbsp;Roman says in a speech, &quot;Instead <em>of</em> going to <em>great</em> lengths to learn from each<span class=""ellipsis""> ... </span>"
2019,December,24,20191224093433,https://www.holidaylettings.co.uk/england/,https://arquivo.pt/wayback/20191224093433/https://www.holidaylettings.co.uk/england/,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20191224093433%2Fhttps%3A%2F%2Fwww.holidaylettings.co.uk%2Fengland%2F,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.holidaylettings.co.uk%2Fengland%2F%2F20191224093433,AWP31,text/html,Cottages in England and Holiday homes from £10 – Holiday Rentals England – Holiday Lettings," Studios in <em>England</em> Rooms in <em>England</em> Destinations Cornwall Devon <em>London</em> Yorkshire East Anglia Cumbria<span class=""ellipsis""> ... </span> &#8364;1,340 - &#8364;7,370 / week Payment Protection Book Viewing 40 <em>of</em> 58,980 rentals in <em>England</em> Show more rentals &times; <em>England</em> holidays <em>England</em>&#8217;s fascinating history and heritage is nothing short <em>of</em> mindblowing<span class=""ellipsis""> ... </span>"
2009,September,2,20090902130449,http://englandexpects.blogspot.com/,https://arquivo.pt/wayback/20090902130449/http://englandexpects.blogspot.com/,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20090902130449%2Fhttp%3A%2F%2Fenglandexpects.blogspot.com%2F,https://arquivo.pt/textextracted?m=http%3A%2F%2Fenglandexpects.blogspot.com%2F%2F20090902130449,InternetMemory,text/html,England Expects," taken its toll, but he has shown <em>great</em> courage and strength <em>of</em> character. On 23rd July Andrew will<span class=""ellipsis""> ... </span> Ambassador <em>of</em> the Hellenic Republic <em>of</em> Greece 1A Holland Park <em>London</em>, W11 3TP or try, H.E. Dr. David<span class=""ellipsis""> ... </span><em>England</em> Expects skip to main | skip to sidebar Tuesday, September 01, 2009 So who do you want as<span class=""ellipsis""> ... </span>"
2019,June,14,20190614113404,https://london.eater.com/,https://arquivo.pt/wayback/20190614113404/https://london.eater.com/,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190614113404%2Fhttps%3A%2F%2Flondon.eater.com%2F,https://arquivo.pt/textextracted?m=https%3A%2F%2Flondon.eater.com%2F%2F20190614113404,FAWP3720190614,text/html,Eater London," Deliver Four Large Cheeseburger Pizzas to the Queen <em>of</em> <em>England</em> By James Hansen June 11 <em>London</em> No<span class=""ellipsis""> ... </span> Their Damn Minds By James Hansen June 13 Huge New Food &#8216;Theatre&#8217; Brings Some <em>of</em> <em>London</em>&#8217;s Hottest<span class=""ellipsis""> ... </span> Media We're building <em>great</em> things, and we need your talent. Prolific <em>London</em> Restaurateur Confirms<span class=""ellipsis""> ... </span>"
2008,February,22,20080222223234,http://www.london.ichotelsgroup.com/,https://arquivo.pt/wayback/20080222223234/http://www.london.ichotelsgroup.com/,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20080222223234%2Fhttp%3A%2F%2Fwww.london.ichotelsgroup.com%2F,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.london.ichotelsgroup.com%2F%2F20080222223234,AWP1,text/html,London Hotels & Lodging - Discount London Hotel Reservations - Discount Hotels," to Fahrenheit&nbsp;&gt;&gt; City Statistics &gt;&gt; More Factoids &gt;&gt; About <em>London</em>, UK - <em>England</em> Each period <em>of</em><span class=""ellipsis""> ... </span> <em>London</em>'s population in half. The <em>Great</em> Plague <em>of</em> 1664 killed nearly 100,000 people. The year 1666 brought the end <em>of</em> the <em>Great</em> Plague but ushered in the <em>Great</em> <em>Fire</em>, which all but destroyed the city<span class=""ellipsis""> ... </span>"
2020,June,5,20200605021301,https://www.hardrockhotels.com/london,https://arquivo.pt/wayback/20200605021301/https://www.hardrockhotels.com/london,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20200605021301%2Fhttps%3A%2F%2Fwww.hardrockhotels.com%2Flondon,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.hardrockhotels.com%2Flondon%2F20200605021301,AWP33,text/html,Hotel in Maryleborne | Hyde Park | Hard Rock Hotel London," <em>Great</em> Cumberland Place, <em>London</em>, <em>England</em> , United Kingdom Rooms &amp; Suites Deluxe Rooms Rock Royalty Rooms<span class=""ellipsis""> ... </span> Departure Rooms 1 Adults 2 Children 0 Promo Code Close Booking <em>Great</em> Cumberland Place, <em>London</em><span class=""ellipsis""> ... </span> pop-up studio right in your own guest room.&nbsp; POINTS <em>OF</em> INTEREST EXPLORE WHAT <em>LONDON</em> HAS TO OFFER All<span class=""ellipsis""> ... </span>"
