event	aspect	pos_docs	neg_docs
great fire of london	when	4184690	1076160
great fire of london	when	4184690	6282285
great fire of london	when	4184690	5100321
great fire of london	when	4184690	3142280
great fire of london	when	4184690	5454343
great fire of london	when	4184690	1822973
great fire of london	when	4184690	1297491
great fire of london	when	4184690	3485568
great fire of london	when	4184690	3990934
great fire of london	when	4184690	6232747
great fire of london	when	4184690	6286130
great fire of london	when	4184690	4821294
great fire of london	when	4184690	4908838
great fire of london	when	4184690	4627311
great fire of london	when	4184690	1735930
great fire of london	when	4184690	2446449
great fire of london	when	4184690	2676230
great fire of london	when	4184690	6921987
great fire of london	when	4184690	5195054
great fire of london	when	4184690	1735927
great fire of london	when	4184690	2259885
great fire of london	when	4184690	1342114
great fire of london	when	4184690	2581052
great fire of london	when	4184690	6113195
great fire of london	when	4184690	6212647
great fire of london	when	4184690	4164866
great fire of london	when	4184690	1295677
great fire of london	when	4184690	3206661
great fire of london	when	4184690	218182
great fire of london	when	4184690	6212649
great fire of london	when	4184690	6433045
great fire of london	when	4184690	1756892
great fire of london	when	4184690	929114
great fire of london	when	4184690	5579752
great fire of london	when	4184690	7785054
great fire of london	when	4184690	3162057
great fire of london	when	4184690	7289488
great fire of london	when	4184690	5748687
great fire of london	when	4184690	1842799
great fire of london	when	4184690	5119564
great fire of london	when	4184690	1528134
great fire of london	when	4184690	2917379
great fire of london	when	4184690	4917682
great fire of london	when	4184690	6738436
great fire of london	when	4184690	1556142
great fire of london	when	4184690	5897215
great fire of london	when	4184690	5454346
great fire of london	when	4184690	243505
great fire of london	when	4184690	2875024
great fire of london	when	4184690	2101232
great fire of london	when	4184690	5238063
great fire of london	when	4184690	5160943
great fire of london	when	4184690	2215643
great fire of london	when	4184690	6421709
great fire of london	when	4184690	7602171
great fire of london	when	4184690	5324747
great fire of london	when	4184690	2455276
great fire of london	when	4184690	3238956
great fire of london	when	4184690	1756890
great fire of london	when	4184690	2917660
great fire of london	when	4184690	4894050
great fire of london	when	4184690	2697446
great fire of london	when	4184690	6099948
great fire of london	when	4184690	1825813
great fire of london	when	4184690	7947151
great fire of london	when	4184690	1165670
great fire of london	when	4184690	249320
great fire of london	when	4184690	6178414
great fire of london	when	4184690	2092650
great fire of london	when	4184690	2332560
great fire of london	when	4184690	4765163
great fire of london	when	4184690	6457951
great fire of london	when	4184690	2718640
great fire of london	when	4184690	1775473
great fire of london	when	4184690	2916952
great fire of london	when	4184690	4034558
great fire of london	when	4184690	3590996
great fire of london	when	4184690	2223115
great fire of london	when	4184690	7215063
great fire of london	when	4184690	2650679
great fire of london	when	4184690	1357383
great fire of london	when	4184690	4289966
great fire of london	when	4184690	221913
great fire of london	when	4184690	317877
great fire of london	when	4184690	1604586
great fire of london	when	4184690	7705490
great fire of london	when	4184690	1770652
great fire of london	when	4184690	7828486
great fire of london	when	4184690	8123702
great fire of london	when	4184690	2265065
great fire of london	when	4184690	3238955
great fire of london	when	4184690	6862013
great fire of london	when	4184690	4268885
great fire of london	when	4184690	3331381
great fire of london	when	4184690	114340
great fire of london	when	4184690	6883872
great fire of london	when	4184690	2665928
great fire of london	when	4184690	8626827
great fire of london	when	4184690	2225647
great fire of london	when	4184690	5873778
great fire of london	when	4184690	3073083
great fire of london	when	4184690	5962519
great fire of london	when	4184690	4686340
great fire of london	when	4184690	1297864
great fire of london	when	4184690	3342075
great fire of london	when	4184690	2202107
great fire of london	when	4184690	5454347
great fire of london	when	4184690	5042344
great fire of london	when	4184690	272039
great fire of london	when	4184690	4981013
great fire of london	when	4184690	5279253
great fire of london	when	4184690	8683114
great fire of london	when	4184690	5698935
great fire of london	when	4184690	7951171
great fire of london	when	4184690	4210696
great fire of london	when	4184690	4408872
great fire of london	when	4184690	5864975
great fire of london	when	4184690	994519
great fire of london	when	4184690	7045793
great fire of london	when	4184690	1221070
great fire of london	when	4184690	2969191
great fire of london	when	4184690	5319832
great fire of london	when	4184690	8469650
great fire of london	when	4184690	6433050
great fire of london	when	4184690	5082012
great fire of london	when	4184690	3119712
great fire of london	when	4184690	3959604
great fire of london	when	4184690	1189855
great fire of london	when	4184690	3723547
